id,label,label_short,start,end,scb,wikidata,region_level,parent,metro,skl_kommungrupp_2017,skl_kommunhuvudgrupp_2017,brå_id,municipality_federation_fire,desc,neighbours
Gotlands kommun,Region Gotland,Gotland,0,9,980,Q374794,municipality,Gotlands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8365,,,
Grästorps kommun,Grästorps kommun,Grästorp,0,9,1444,Q503148,municipality,Västra Götalands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8626,Västra Skaraborgs kommunalförbund,,"Vänersborgs kommun,Trollhättans kommun,Vara kommun,Essunga kommun,Lidköpings kommun"
Grums kommun,Grums kommun,Grums,0,9,1764,Q503122,municipality,Värmlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8568,Karlstadsregionens kommunalförbund,,"Säffle kommun,Arvika kommun,Kils kommun,Karlstads kommun"
Gullspångs kommun,Gullspångs kommun,Gullspång,0,9,1447,Q503193,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8627,Östra Skaraborgs kommunalförbund,,"Mariestads kommun,Töreboda kommun,Kristinehamns kommun,Laxå kommun,Degerfors kommun"
Habo kommun,Habo kommun,Habo,0,9,643,Q503198,municipality,Jönköpings län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8398,,,"Hjo kommun,Tidaholms kommun,Mullsjö kommun,Jönköpings kommun"
Håbo kommun,Håbo kommun,Håbo,0,9,305,Q511253,municipality,Uppsala län,,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8557,Enköping-Håbos kommunalförbund,,"Upplands-Bro kommun,Knivsta kommun,Sigtuna kommun,Uppsala kommun,Enköpings kommun"
Hagfors kommun,Hagfors kommun,Hagfors,0,9,1783,Q511407,municipality,Värmlands län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8569,,,"Sunne kommun,Forshaga kommun,Munkfors kommun,Torsby kommun,Karlstads kommun,Malung-Sälens kommun,Filipstads kommun"
Hällefors kommun,Hällefors kommun,Hällefors,0,9,1863,Q220881,municipality,Örebro län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8701,Bergslagens kommunalförbund,,"Storfors kommun,Ludvika kommun,Karlskoga kommun,Nora kommun,Filipstads kommun,Lindesbergs kommun,Ljusnarsbergs kommun"
Hallsbergs kommun,Hallsbergs kommun,Hallsberg,0,9,1861,Q508180,municipality,Örebro län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8700,Nerikes kommunalförbund,,"Finspångs kommun,Motala kommun,Lekebergs kommun,Laxå kommun,Kumla kommun,Örebro kommun,Askersunds kommun"
Hallstahammars kommun,Hallstahammars kommun,Hallstahammar,0,9,1961,Q47019,municipality,Västmanlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8607,Mälardalens kommunalförbund,,"Köpings kommun,Surahammars kommun,Västerås kommun"
Halmstads kommun,Halmstads kommun,Halmstad,0,9,1380,Q504692,municipality,Hallands län,,Större stad,Större städer och kommuner nära större stad,8379,,,"Laholms kommun,Falkenbergs kommun,Hylte kommun,Ljungby kommun"
Hammarö kommun,Hammarö kommun,Hammarö,0,9,1761,Q499359,municipality,Värmlands län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8570,Karlstadsregionens kommunalförbund,,Karlstads kommun
Haninge kommun,Haninge kommun,Haninge,0,9,136,Q113692,municipality,Stockholms län,Storstockholm,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8498,Södertörns kommunalförbund,,"Nynäshamns kommun,Botkyrka kommun,Tyresö kommun,Huddinge kommun"
Haparanda kommun,Haparanda kommun,Haparanda,0,9,2583,Q510310,municipality,Norrbottens län,,Landsbygdskommun,Mindre städer tätorter och landsbygdskommuner,8442,,,"Övertorneå kommun,Kalix kommun"
Härjedalens kommun,Härjedalens kommun,Härjedalen,0,9,2361,Q513421,municipality,Jämtlands län,,Landsbygdskommun med besöksnäring,Mindre städer tätorter och landsbygdskommuner,8387,Jämtland kommunalförbund,,"Orsa kommun,Bergs kommun,Älvdalens kommun,Mora kommun,Ånge kommun,Ljusdals kommun"
Härnösands kommun,Härnösands kommun,Härnösand,0,9,2280,Q209634,municipality,Västernorrlands län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8597,Kommunalförbundet Höga Kusten och Ådalen,,"Timrå kommun,Sundsvalls kommun,Kramfors kommun,Sollefteå kommun"
Härryda kommun,Härryda kommun,Härryda,0,9,1401,Q500125,municipality,Västra Götalands län,Storgöteborg,Pendlingskommun nära storstad,Storstäder och storstadsnära kommuner,8663,Storgöteborgs kommunalförbund,,"Mölndals kommun,Göteborgs kommun,Partille kommun,Marks kommun,Bollebygds kommun,Kungsbacka kommun,Lerums kommun"
Hässleholms kommun,Hässleholms kommun,Hässleholm,0,9,1293,Q508125,municipality,Skåne län,,Mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8451,,,"Kristianstads kommun,Höörs kommun,Hörby kommun,Perstorps kommun,Örkelljunga kommun,Klippans kommun,Östra Göinge kommun,Osby kommun,Älmhults kommun,Markaryds kommun"
Heby kommun,Heby kommun,Heby,2007-01-01,9,331,Q516308,municipality,Uppsala län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8556,,Heby kommun after they switched county in 2007,"Tierps kommun,Uppsala kommun,Enköpings kommun,Sala kommun,Gävle kommun,Sandvikens kommun,Avesta kommun"
Heby kommun före 2007,Heby kommun före 2007,Heby före 2007,0,2006-12-31,1917,Q516308,municipality,Västmanlands län,,,,,,Heby kommun before they switched county,"Tierps kommun,Uppsala kommun,Enköpings kommun,Sala kommun,Gävle kommun,Sandvikens kommun,Avesta kommun"
Hedemora kommun,Hedemora kommun,Hedemora,0,9,2083,Q507684,municipality,Dalarnas län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8353,Södra Dalarnas kommunalförbund,,"Smedjebackens kommun,Norbergs kommun,Hofors kommun,Avesta kommun,Falu kommun,Säters kommun"
Helsingborgs kommun,Helsingborgs kommun,Helsingborg,0,9,1283,Q487648,municipality,Skåne län,,Större stad,Större städer och kommuner nära större stad,8450,Nordvästra Skånes kommunalförbund,,"Bjuvs kommun,Svalövs kommun,Landskrona kommun,Åstorps kommun,Ängelholms kommun,Höganäs kommun"
Herrljunga kommun,Herrljunga kommun,Herrljunga,0,9,1466,Q503111,municipality,Västra Götalands län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8661,,,"Borås kommun,Vara kommun,Vårgårda kommun,Essunga kommun,Ulricehamns kommun,Falköpings kommun"
Hjo kommun,Hjo kommun,Hjo,0,9,1497,Q428749,municipality,Västra Götalands län,,Pendlingskommun nära mindre stad eller tätort,Mindre städer tätorter och landsbygdskommuner,8662,Östra Skaraborgs kommunalförbund,,"Karlsborgs kommun,Tibro kommun,Skövde kommun,Tidaholms kommun,Habo kommun"
Hofors kommun,Hofors kommun,Hofors,0,9,2104,Q62464,municipality,Gävleborgs län,,Lågpendlingskommun nära större stad,Större städer och kommuner nära större stad,8369,Gästrike kommunalförbund,,"Sandvikens kommun,Avesta kommun,Falu kommun,Säters kommun,Hedemora kommun"
Höganäs kommun,Höganäs kommun,Höganäs,0,9,1284,Q505013,municipality,Skåne län,,Pendlingskommun nära större stad,Större städer och kommuner nära större stad,8452,,,Helsingborgs kommun
