id,label,start,end,scb,wikidata,parent,metro,brå_id,desc
Säters kommun,Säters kommun,0,9,2082,Q1345439,Dalarnas län,,8361,
Hedemora kommun,Hedemora kommun,0,9,2083,Q507684,Dalarnas län,,8353,
Avesta kommun,Avesta kommun,0,9,2084,Q500071,Dalarnas län,,8349,
Ludvika kommun,Ludvika kommun,0,9,2085,Q503184,Dalarnas län,,8355,
Ockelbo kommun,Ockelbo kommun,0,9,2101,Q505109,Gävleborgs län,,8373,
Hofors kommun,Hofors kommun,0,9,2104,Q62464,Gävleborgs län,,8369,
Ovanåkers kommun,Ovanåkers kommun,0,9,2121,Q505085,Gävleborgs län,,8374,
Nordanstigs kommun,Nordanstigs kommun,0,9,2132,Q514805,Gävleborgs län,,8372,
Ljusdals kommun,Ljusdals kommun,0,9,2161,Q515235,Gävleborgs län,,8371,
Gävle kommun,Gävle kommun,0,9,2180,Q510010,Gävleborgs län,,8368,
Sandvikens kommun,Sandvikens kommun,0,9,2181,Q149539,Gävleborgs län,,8375,
Söderhamns kommun,Söderhamns kommun,0,9,2182,Q145835,Gävleborgs län,,8376,
Bollnäs kommun,Bollnäs kommun,0,9,2183,Q62469,Gävleborgs län,,8367,
Hudiksvalls kommun,Hudiksvalls kommun,0,9,2184,Q29963,Gävleborgs län,,8370,
Ånge kommun,Ånge kommun,0,9,2260,Q271107,Västernorrlands län,,8602,
Timrå kommun,Timrå kommun,0,9,2262,Q504983,Västernorrlands län,,8601,
Härnösands kommun,Härnösands kommun,0,9,2280,Q209634,Västernorrlands län,,8597,
Sundsvalls kommun,Sundsvalls kommun,0,9,2281,Q504994,Västernorrlands län,,8600,
Kramfors kommun,Kramfors kommun,0,9,2282,Q514815,Västernorrlands län,,8598,
Sollefteå kommun,Sollefteå kommun,0,9,2283,Q221990,Västernorrlands län,,8599,
Örnsköldsviks kommun,Örnsköldsviks kommun,0,9,2284,Q298003,Västernorrlands län,,8603,
Ragunda kommun,Ragunda kommun,0,9,2303,Q515342,Jämtlands län,,8389,
Bräcke kommun,Bräcke kommun,0,9,2305,Q504261,Jämtlands län,,8386,
Krokoms kommun,Krokoms kommun,0,9,2309,Q514707,Jämtlands län,,8388,
Strömsunds kommun,Strömsunds kommun,0,9,2313,Q514770,Jämtlands län,,8390,
Åre kommun,Åre kommun,0,9,2321,Q271153,Jämtlands län,,8391,
Bergs kommun,Bergs kommun,0,9,2326,Q845930,Jämtlands län,,8385,
Härjedalens kommun,Härjedalens kommun,0,9,2361,Q513421,Jämtlands län,,8387,
Östersunds kommun,Östersunds kommun,0,9,2380,Q306789,Jämtlands län,,8392,
Nordmalings kommun,Nordmalings kommun,0,9,2401,Q514722,Västerbottens län,,8585,
Bjurholms kommun,Bjurholms kommun,0,9,2403,Q376003,Västerbottens län,,8581,
Vindelns kommun,Vindelns kommun,0,9,2404,Q504505,Västerbottens län,,8593,
Robertsfors kommun,Robertsfors kommun,0,9,2409,Q507670,Västerbottens län,,8587,
Norsjö kommun,Norsjö kommun,0,9,2417,Q507644,Västerbottens län,,8586,
Malå kommun,Malå kommun,0,9,2418,Q501540,Västerbottens län,,8584,
Storumans kommun,Storumans kommun,0,9,2421,Q499415,Västerbottens län,,8590,
Sorsele kommun,Sorsele kommun,0,9,2422,Q501463,Västerbottens län,,8589,
Dorotea kommun,Dorotea kommun,0,9,2425,Q132334,Västerbottens län,,8582,
Vännäs kommun,Vännäs kommun,0,9,2460,Q500210,Västerbottens län,,8594,
Vilhelmina kommun,Vilhelmina kommun,0,9,2462,Q515861,Västerbottens län,,8592,
Åsele kommun,Åsele kommun,0,9,2463,Q271274,Västerbottens län,,8595,
Umeå kommun,Umeå kommun,0,9,2480,Q507709,Västerbottens län,,8591,
Lycksele kommun,Lycksele kommun,0,9,2481,Q948462,Västerbottens län,,8583,
Skellefteå kommun,Skellefteå kommun,0,9,2482,Q430780,Västerbottens län,,8588,
Arvidsjaurs kommun,Arvidsjaurs kommun,0,9,2505,Q499404,Norrbottens län,,8430,
Arjeplogs kommun,Arjeplogs kommun,0,9,2506,Q493855,Norrbottens län,,8431,
Jokkmokks kommun,Jokkmokks kommun,0,9,2510,Q512048,Norrbottens län,,8432,
Överkalix kommun,Överkalix kommun,0,9,2513,Q307569,Norrbottens län,,8433,
Kalix kommun,Kalix kommun,0,9,2514,Q117091,Norrbottens län,,8434,
Övertorneå kommun,Övertorneå kommun,0,9,2518,Q307603,Norrbottens län,,8435,
Pajala kommun,Pajala kommun,0,9,2521,Q186230,Norrbottens län,,8436,
Gällivare kommun,Gällivare kommun,0,9,2523,Q493815,Norrbottens län,,8437,
Älvsbyns kommun,Älvsbyns kommun,0,9,2560,Q255025,Norrbottens län,,8438,
Luleå kommun,Luleå kommun,0,9,2580,Q177019,Norrbottens län,,8439,
Piteå kommun,Piteå kommun,0,9,2581,Q507656,Norrbottens län,,8440,
Bodens kommun,Bodens kommun,0,9,2582,Q509476,Norrbottens län,,8441,
Haparanda kommun,Haparanda kommun,0,9,2583,Q510310,Norrbottens län,,8442,
Kiruna kommun,Kiruna kommun,0,9,2584,Q499474,Norrbottens län,,8443,
