id,source,periodicity,geographic_extent,measure,divisions
140,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1401,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1402,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1404,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1405,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1406,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1407,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1408,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1409,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1410,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
150,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1501,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1503,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1504,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1505,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1506,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
160,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1602,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1603,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1604,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1605,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1607,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1608,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1609,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1610,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
170,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1701,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1702,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1703,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1704,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1705,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1706,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1708,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1709,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
1710,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
20,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
200,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
2002,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
2003,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
2004,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
220,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
2204,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
2205,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
300,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3001,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3002,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3003,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3004,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3005,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3006,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3070,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3161,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
320,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3201,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
3203,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
400,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4007,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4008,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4009,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
401,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4010,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4011,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4012,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4013,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4016,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
402,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4021,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4023,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4024,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
