id,label,smhi_id,municipality,parent,neighbours
smhi_133100,Vallbo,133100,Åre kommun,Jämtlands län,"smhi_134070,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_133190,Mörsil,133190,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_132030,smhi_133410,smhi_132180,smhi_132170"
smhi_133240,Järpströmmen,133240,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_133300,Kaxås-Åflo D,133300,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133420,smhi_133500,smhi_134170,smhi_134270,smhi_134310,smhi_134590"
smhi_133410,Bottnen,133410,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_132180,smhi_132170"
smhi_133420,Olden D,133420,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133500,smhi_134170,smhi_134270,smhi_134310,smhi_133300,smhi_134590"
smhi_133500,Korsvattnet A,133500,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133420,smhi_134170,smhi_134270,smhi_134310,smhi_133300,smhi_134590"
smhi_134000,Tandsbyn D,134000,Östersunds kommun,Jämtlands län,smhi_134110
smhi_134070,Marby D,134070,Åre kommun,Jämtlands län,"smhi_132450,smhi_133100,smhi_133240,smhi_132030,smhi_134090,smhi_132590,smhi_132320,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_134090,Norderön,134090,Åre kommun,Jämtlands län,"smhi_134070,smhi_133100,smhi_133240,smhi_132030,smhi_132590,smhi_132320,smhi_132450,smhi_133050,smhi_132370,smhi_132110,smhi_133190,smhi_133410,smhi_132180,smhi_132170"
smhi_134110,Frösön,134110,Östersunds kommun,Jämtlands län,smhi_134000
smhi_134170,Litsnäset,134170,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133420,smhi_133500,smhi_134270,smhi_134310,smhi_133300,smhi_134590"
