"id","municipality","original_id","road_name","road_number","road_type","station"
"Rv 25 Sjöatorp - Forsa","Alvesta kommun","Rv 25 Sjöatorp - Forsa","Riksväg 25","25","national_road",
"Rv 27 Ingelstad - Växjö","Växjö kommun","Rv 27 Ingelstad - Växjö","Riksväg 27","27","national_road",
"Lv 143 Roma - Roma kyrkby","Gotlands kommun","Lv 143 Roma - Roma kyrkby","Länsväg 143","143","county_road",
"Lv 108 Svedala - Lund","Svedala kommun","Lv 108 Svedala - Lund","Länsväg 108","108","county_road",
"E 20 Hova - Bahult","Gullspångs kommun","E 20 Hova - Bahult","E20","E20","street",
"E4 Hudiksvall-Iggesund","Hudiksvalls kommun","E4 Hudiksvall-Iggesund","Länsväg 583","583","county_road",
"Rv 50 Överbo - Bollnäs","Söderhamns kommun","Rv 50 Överbo - Bollnäs","Riksväg 50","50","national_road",
"Rv 90 Veda - Sollefteå","Härnösands kommun","Rv 90 Veda - Sollefteå","Riksväg 90","90","national_road",
"E 14 Pilgrimstad - Optand","Östersunds kommun","E 14 Pilgrimstad - Optand","E14","E14","street",
"E 14 Ås - Mörsil","Krokoms kommun","E 14 Ås - Mörsil","E14","E14","street",
"Rv 23 Rollsberga -  Sandåkra","Höörs kommun","Rv 23 Rollsberga -  Sandåkra","Riksväg 23","23","national_road",
"Rv 71 Vansbro - Sälen","Vansbro kommun","Rv 71 Vansbro - Sälen","E16","E16","street",
"E 45 Noppikoski - Älvros","Ljusdals kommun","E 45 Noppikoski - Älvros","E45","E45","street",
"E 22 Tätort Linderöd (väster-öster)","Kristianstads kommun","E 22 Tätort Linderöd (väster-öster)","E22","E22","street",
"E 22 Tätort Sätaröd","Kristianstads kommun","E 22 Tätort Sätaröd","E22","E22","street",
"E 22 Tätort Tollarp (öster-väster)","Kristianstads kommun","E 22 Tätort Tollarp (öster-väster)","E22","E22","street",
"E6.20 Vädermotet (155) - Klarebergsmotet(45)","Göteborgs kommun","E6.20 Vädermotet (155) - Klarebergsmotet(45)","E6/20","E6/20","street",
