id,label,parent
bra_5229,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §), Människoexploatering för tiggeri, Med barn under 18 år",bra_11091
bra_5230,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §), Människoexploatering för tvångsarbete el. arbete under orimliga villkor, Med person 18 år eller äldre",bra_11091
bra_5231,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Människoexploatering (1 b §), Människoexploatering för tiggeri, Med person 18 år eller äldre",bra_11091
bra_11748,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov fridskränkning (4 a §), Mot barn under 18 år, Mot pojke under 18 år",bra_11091
bra_11749,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov fridskränkning (4 a §), Mot kvinna 18 år eller äldre",bra_11091
bra_11750,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov fridskränkning (4 a §), Mot man 18 år eller äldre",bra_11091
bra_11751,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 4 kap. Brott mot frihet och frid, Grov kvinnofridskränkning (4 a §)",bra_11091
bra_13087,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år",bra_11092
bra_13088,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot kvinna 18 år eller äldre",bra_11092
bra_13089,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot man 18 år eller äldre",bra_11092
bra_13090,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år, Mot flicka under 18 år",bra_11092
bra_13091,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år, Mot pojke under 18 år",bra_11092
bra_13135,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år, Mot flicka under 18 år, Internetrelaterad",bra_11092
bra_13136,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år, Mot flicka under 18 år, Ej internetrelaterad",bra_11092
bra_13137,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år, Mot pojke under 18 år, Internetrelaterad",bra_11092
bra_13138,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot barn under 18 år, Mot pojke under 18 år, Ej internetrelaterad",bra_11092
bra_13139,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot kvinna 18 år eller äldre, Internetrelaterad",bra_11092
bra_13140,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot kvinna 18 år eller äldre, Ej internetrelaterad",bra_11092
bra_13141,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot man 18 år eller äldre, Internetrelaterad",bra_11092
bra_13142,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 5 kap. Ärekränkningsbrott, Mot man 18 år eller äldre, Ej internetrelaterad",bra_11092
bra_11338,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §)",bra_11093
bra_11339,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt tvång, utnyttjande m.m. (5-6 §) (2, 3, 7 § t.o.m. 2018-06)",bra_11093
bra_5232,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §)",bra_11093
bra_5246,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Sexuellt övergrepp (2 §) (Fr. o. m. 2018-07)",bra_11093
bra_5247,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsamt sexuellt övergrepp (3 §) (Fr. o. m. 2018-07)",bra_11093
bra_5248,"Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Samlag med avkomling eller syskon (7 §) (Fr. o. m. 2018-07)",bra_11093
